,datetime,title,source,link
10,5/1/2017 12:05:00 PM,"Research Reports on Auto Parts Equities -- Johnson Controls, LKQ Corp., Gentex, and Delphi Automotive",PR Newswire,/news/stocks/research-reports-on-auto-parts-equities-johnson-controls-lkq-corp-gentex-and-delphi-automotive-1001965151
11,5/2/2017 3:00:00 PM,Delphi to Present at the Deutsch Bank AutoTech Conference,PR Newswire,/news/stocks/delphi-to-present-at-the-deutsch-bank-autotech-conference-1001969624
12,5/3/2017 12:44:00 PM,Delphi Announces Plans for Tax-Free Spin-Off of Powertrain Segment,PR Newswire,/news/stocks/delphi-announces-plans-for-tax-free-spin-off-of-powertrain-segment-1001973794
13,5/3/2017 12:45:00 PM,Delphi Reports First Quarter 2017 Financial Results,PR Newswire,/news/stocks/delphi-reports-first-quarter-2017-financial-results-1001973798
14,6/1/2017 2:00:00 PM,The Next Big Winner of the Electric Car Boom,PR Newswire,/news/stocks/the-next-big-winner-of-the-electric-car-boom-1002058853
15,6/7/2017 2:00:00 PM,Transdev and Delphi Announce Commercial Partnership for Autonomous Transportation,PR Newswire,/news/stocks/transdev-and-delphi-announce-commercial-partnership-for-autonomous-transportation-1002074048
16,6/7/2017 3:02:00 PM,How Hedge Funds are Undermining the Electric Car Boom,PR Newswire,/news/stocks/how-hedge-funds-are-undermining-the-electric-car-boom-1002074582
17,6/16/2017 3:00:00 PM,The Lithium Boom is About to go Into Overdrive,PR Newswire,/news/stocks/the-lithium-boom-is-about-to-go-into-overdrive-1002099636
18,6/19/2017 12:10:00 PM,"Breakfast Technical Briefing on Auto Parts Stocks -- BorgWarner, Dana, Delphi Automotive, and Tenneco",PR Newswire,/news/stocks/breakfast-technical-briefing-on-auto-parts-stocks-borgwarner-dana-delphi-automotive-and-tenneco-1002102863
19,7/26/2017 12:55:00 PM,"Technical Insights on Auto Parts Stocks -- Allison Transmission, BorgWarner, Dana, and Delphi Automotive",PR Newswire,/news/stocks/technical-insights-on-auto-parts-stocks-allison-transmission-borgwarner-dana-and-delphi-automotive-1002205398
20,8/2/2017 12:45:00 PM,Delphi Reports Second Quarter 2017 Financial Results; Raises Full Year Outlook,PR Newswire,/news/stocks/delphi-reports-second-quarter-2017-financial-results-raises-full-year-outlook-1002225708
21,8/9/2017 3:00:00 PM,The Likely Winners in the Lithium Race,PR Newswire,/news/stocks/the-likely-winners-in-the-lithium-race-1002244521
22,8/18/2017 8:00:00 PM,Delphi Partners with Innoviz Technologies to Provide High-Performance LiDAR Solutions for Autonomous Vehicles,PR Newswire,/news/stocks/delphi-partners-with-innoviz-technologies-to-provide-high-performance-lidar-solutions-for-autonomous-vehicles-1002269407
23,9/5/2017 12:05:00 PM,"Pre-Market Technical Recap on Auto Parts Stocks -- Gentex, LKQ Corp., American Axle & Manufacturing, and Delphi Automotive",PR Newswire,/news/stocks/pre-market-technical-recap-on-auto-parts-stocks-gentex-lkq-corp-american-axle-manufacturing-and-delphi-automotive-1002307990
24,9/8/2017 1:20:00 PM,"Delphi Announces $750 Million Private Offering of Senior Notes by Its Powertrain Systems Spin-Off Subsidiary, Delphi Jersey Holdings PLC",PR Newswire,/news/stocks/delphi-announces-750-million-private-offering-of-senior-notes-by-its-powertrain-systems-spin-off-subsidiary-delphi-jersey-holdings-plc-1002353318
25,9/14/2017 4:00:00 PM,Delphi Partners with LeddarTech to Provide LiDAR for Autonomous Vehicles,PR Newswire,/news/stocks/delphi-partners-with-leddartech-to-provide-lidar-for-autonomous-vehicles-1002370823
26,9/15/2017 1:58:00 PM,Delphi Achieves Major Milestone towards Completing Powertrain Systems Spin-Off,PR Newswire,/news/stocks/delphi-achieves-major-milestone-towards-completing-powertrain-systems-spin-off-1002374194
27,9/15/2017 2:00:00 PM,Delphi President and CEO Kevin Clark to Present at CEO Investor Forum,PR Newswire,/news/stocks/delphi-president-and-ceo-kevin-clark-to-present-at-ceo-investor-forum-1002374203
28,9/20/2017 9:00:00 PM,Delphi Teams with BlackBerry QNX for Autonomous Driving Operating System Platform,PR Newswire,/news/stocks/delphi-teams-with-blackberry-qnx-for-autonomous-driving-operating-system-platform-1002389368
29,9/22/2017 2:00:00 PM,Delphi to Hold Investor Update Meeting in Boston Sept. 27,PR Newswire,/news/stocks/delphi-to-hold-investor-update-meeting-in-boston-sept-27-1002422447
30,9/27/2017 3:30:00 PM,Delphi Automotive Announces Post Spin-Off Names,PR Newswire,/news/stocks/delphi-automotive-announces-post-spin-off-names-1002646712
31,10/13/2017 2:00:00 PM,Delphi to Discuss 2017 Q3 Earnings November 2,PR Newswire,/news/stocks/delphi-to-discuss-2017-q3-earnings-november-2-1004125756
32,10/24/2017 3:00:00 PM,Delphi Reaches Agreement to Acquire nuTonomy,PR Newswire,/news/stocks/delphi-reaches-agreement-to-acquire-nutonomy-1005448273
33,10/26/2017 10:15:00 PM,Delphi Declares Quarterly Dividend,PR Newswire,/news/stocks/delphi-declares-quarterly-dividend-1005744976
34,11/2/2017 11:45:00 AM,Delphi Reports Third Quarter 2017 Financial Results; Raises Fourth Quarter and Full Year 2017 Outlook,PR Newswire,/news/stocks/delphi-reports-third-quarter-2017-financial-results-raises-fourth-quarter-and-full-year-2017-outlook-1006581160
35,11/13/2017 11:16:00 PM,Delphi Board of Directors Approves Delphi Technologies Spin-off,PR Newswire,/news/stocks/delphi-board-of-directors-approves-delphi-technologies-spin-off-1007918290
36,11/14/2017 5:00:00 PM,Delphi Executives to Present at Barclays Global Automotive Conference,PR Newswire,/news/stocks/delphi-executives-to-present-at-barclays-global-automotive-conference-1008010127
37,11/15/2017 3:00:00 PM,Frank Dellaquila and Colin Parris to join Aptiv Board of Directors,PR Newswire,/news/stocks/frank-dellaquila-and-colin-parris-to-join-aptiv-board-of-directors-1008139843
38,11/21/2017 9:00:00 PM,Delphi Closes Acquisition of nuTonomy,PR Newswire,/news/stocks/delphi-closes-acquisition-of-nutonomy-1008980204
39,11/29/2017 12:03:00 AM,Delphi Technologies Set to Join S&P MidCap 400 and Frontier Communications to Join S&P SmallCap 600,PR Newswire,/news/stocks/delphi-technologies-set-to-join-s&p-midcap-400-and-frontier-communications-to-join-s&p-smallcap-600-542840
40,12/5/2017 6:01:00 AM,Delphi Technologies completes spinoff into Powertrain and Aftermarket focused stand-alone company,PR Newswire,/news/stocks/delphi-technologies-completes-spinoff-into-powertrain-and-aftermarket-focused-stand-alone-company-559153
41,12/5/2017 6:01:00 AM,Aptiv PLC to Transform Future Mobility,PR Newswire,/news/stocks/aptiv-plc-to-transform-future-mobility-1010337726
42,12/6/2017 11:14:51 AM,"Top Gainers & News Inspiring Rally - SNAP, DLPH, RGC, ATGE, BITA ",RTTNews,/news/stocks/top-gainers-news-inspiring-rally-snap-dlph-rgc-atge-bita-1010399346
43,12/7/2017 6:01:00 AM,Delphi Technologies to Ring Opening Bell® at the New York Stock Exchange on December 8,PR Newswire,/news/stocks/delphi-technologies-to-ring-opening-bell-at-the-new-york-stock-exchange-on-december-8-1010460234
44,12/12/2017 6:30:00 PM,Aptiv Opens Boston Technology Center,PR Newswire,/news/stocks/aptiv-opens-boston-technology-center-1011109518
45,1/2/2018 5:00:00 PM,Aptiv and Lyft to Bring Self-Driving Rides to Las Vegas in January 2018,PR Newswire,/news/stocks/aptiv-and-lyft-to-bring-self-driving-rides-to-las-vegas-in-january-2018-1012409990
46,1/8/2018 5:00:00 PM,Aptiv to Discuss 2017 Q4 Earnings February 1,PR Newswire,/news/stocks/aptiv-to-discuss-2017-q4-earnings-february-1-1001651244
47,1/12/2018 10:30:00 PM,Aptiv to Present at the Deutsche Bank 2018 Global Auto Industry Conference,PR Newswire,/news/stocks/aptiv-to-present-at-the-deutsche-bank-2018-global-auto-industry-conference-1013068148
48,1/29/2018 6:30:00 PM,Nancy E. Cooper Joins Aptiv Board of Directors,PR Newswire,/news/stocks/nancy-e-cooper-joins-aptiv-board-of-directors-1014460805
49,2/1/2018 12:45:00 PM,"Aptiv Reports 2017 Financial Results, Exceeding Company's Previous Outlook",PR Newswire,/news/stocks/aptiv-reports-2017-financial-results-exceeding-company-s-previous-outlook-1014790134
50,2/12/2018 2:00:00 PM,Aptiv Named One of World's Most Ethical Companies for Sixth Straight Year,PR Newswire,/news/stocks/aptiv-named-one-of-world-s-most-ethical-companies-for-sixth-straight-year-1015510833
51,2/14/2018 11:00:00 PM,Aptiv To Present at Barclays Industrial Select Conference,PR Newswire,/news/stocks/aptiv-to-present-at-barclays-industrial-select-conference-1015812613
52,2/20/2018 2:00:00 PM,Fast Company Names Aptiv a 2018 Top 10 'Most Innovative Company' in Two Categories,PR Newswire,/news/stocks/fast-company-names-aptiv-a-2018-top-10-most-innovative-company-in-two-categories-1016439004
53,4/11/2018 10:30:00 PM,Aptiv Schedules First Quarter 2018 Earnings Conference Call,PR Newswire,/news/stocks/aptiv-schedules-first-quarter-2018-earnings-conference-call-1021212412
54,4/26/2018 10:05:00 PM,Aptiv Declares Quarterly Dividend,PR Newswire,/news/stocks/aptiv-declares-quarterly-dividend-1022447582
55,5/2/2018 12:45:00 PM,Aptiv Reports Record First Quarter 2018 Financial Results And Raises Full Year Outlook,PR Newswire,/news/stocks/aptiv-reports-record-first-quarter-2018-financial-results-and-raises-full-year-outlook-1001651243
56,5/2/2018 12:47:33 PM,BRIEF-Aptiv Reports Q1 Earnings Per Share $1.29 From Continuing Operations Excluding Items,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/qaLcePzjObg/brief-aptiv-reports-q1-earnings-per-share-1-29-from-continuing-operations-excluding-items-idUSASC09YWV
57,5/2/2018 2:30:00 PM,Aptiv Launches Fleet of Autonomous Vehicles on the Lyft Network,PR Newswire,/news/stocks/aptiv-launches-fleet-of-autonomous-vehicles-on-the-lyft-network-1023135135
58,5/2/2018 2:40:29 PM,BRIEF-Aptiv Launches Fleet Of Autonomous Vehicles On The Lyft Network,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/Ouw3hwZ4iB4/brief-aptiv-launches-fleet-of-autonomous-vehicles-on-the-lyft-network-idUSFWN1S90OZ
59,5/7/2018 10:30:00 PM,Aptiv to Present at Wells Fargo Industrials Conference,PR Newswire,/news/stocks/aptiv-to-present-at-wells-fargo-industrials-conference-1023683078
60,5/7/2018 10:30:00 PM,Aptiv to Present at Citi Car of the Future Symposium,PR Newswire,/news/stocks/aptiv-to-present-at-citi-car-of-the-future-symposium-1023683077
61,5/14/2018 10:30:00 PM,Aptiv to Present at Evercore ISI Global Auto/Auto-Tech Conference,PR Newswire,/news/stocks/aptiv-to-present-at-evercore-isi-global-auto-auto-tech-conference-1024480517
62,5/24/2018 10:30:00 PM,Aptiv to Present at RBC Capital Markets 2018 Auto Tech Conference,PR Newswire,/news/stocks/aptiv-to-present-at-rbc-capital-markets-2018-auto-tech-conference-1025233802
63,6/14/2018 6:00:00 AM,Aptiv Completes Acquisition of KUM,PR Newswire,/news/stocks/aptiv-completes-acquisition-of-kum-1026975675
64,7/10/2018 1:37:12 PM,Aptiv To Buy Winchester Interconnect For $650 Mln - Quick Facts ,RTTNews,/news/stocks/aptiv-to-buy-winchester-interconnect-for-650-mln-quick-facts-1027353977
65,7/29/2018 3:02:00 PM,Aptiv is about to announce earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/aptiv-stock-quarter-earnings-preview-q2-1027409148
66,7/31/2018 2:46:20 PM,Hertz partners with Aptiv for managing driverless car fleets,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/rVvjUrd_egM/hertz-partners-with-aptiv-for-managing-driverless-car-fleets-idUSL4N1UR5Q1
67,8/21/2018 3:02:44 PM,"Lyft surpasses 5,000 self-driving rides with Aptiv fleet",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/bGsByurji5U/lyft-surpasses-5000-self-driving-rides-with-aptiv-fleet-idINKCN1L61B7
68,8/21/2018 3:04:04 PM,"Lyft surpasses 5,000 self-driving rides with Aptiv fleet",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/zckm-mjFOBQ/lyft-surpasses-5000-self-driving-rides-with-aptiv-fleet-idUSKCN1L61AX
69,10/29/2018 3:02:58 PM,Aptiv earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/aptiv-q3-quarterly-earnings-preview-1027665930
70,1/29/2019 3:02:02 PM,Here's what to expect from Aptiv (ex Delphi Automotive)'s earnings,Markets Insider Automation,/news/stocks/aptiv-stock-quarter-earnings-preview-q4-1027905033
71,4/17/2019 6:01:00 AM,Aptiv opens autonomous mobility center in China,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/z6viyod4Huw/aptiv-opens-autonomous-mobility-center-in-china-idUSL3N21X3F4
72,4/30/2019 3:02:46 PM,What Wall Street expects from Aptiv (ex Delphi Automotive)'s earnings,Markets Insider Automation,/news/stocks/aptiv-stock-q1-earnings-preview-1028153652
73,6/4/2019 7:40:03 PM,Aptiv says proposed Mexico tariffs to cost $17 mln per month,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/XE6be07NNkU/aptiv-says-proposed-mexico-tariffs-to-cost-17-mln-per-month-idUSL4N23B3IM
74,7/10/2019 3:33:40 PM,The 5 Best Stocks to Invest in Self-Driving Cars,InvestorPlace,/news/stocks/the-5-best-stocks-to-invest-in-self-driving-cars-1028344473
75,7/29/2019 3:02:47 PM,Here's what Wall Street expects from Aptiv (ex Delphi Automotive)'s earnings report,Markets Insider Automation,/news/stocks/aptiv-stock-quarter-earnings-preview-q2-1028393732
76,8/26/2019 6:06:06 PM,10 Companies Using AI to Grow,InvestorPlace,/news/stocks/10-companies-using-ai-to-grow-1028475032
77,8/29/2019 12:45:04 PM,VIDEO: Don’t Panic About the Inverted Yield Curve,InvestorPlace,/news/stocks/dont-panic-about-inverted-yield-curve-1028486417
78,9/23/2019 11:26:01 AM,"Hyundai Motor Group, Aptiv to set up $4 bln self-driving JV",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/7aRYIQaMUEo/hyundai-motor-group-aptiv-to-set-up-4-bln-self-driving-jv-idUSS6N23R01S
79,9/23/2019 11:53:03 AM,"UPDATE 1-Hyundai Motor Group, Aptiv to set up $4 bln self-driving JV",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/4NgdediNSjk/update-1-hyundai-motor-group-aptiv-to-set-up-4-bln-self-driving-jv-idUSL3N26E1SR
80,9/23/2019 12:22:58 PM,"Aptiv, Hyundai Form Autonomous Driving JV; Driving Platform To Be Ready In 2022 ",RTTNews,/news/stocks/aptiv-hyundai-form-autonomous-driving-jv-driving-platform-to-be-ready-in-2022-1028544072
81,9/23/2019 2:34:52 PM,"UPDATE 2, PIX-Hyundai Motor Group, Aptiv to set up $4 bln self-driving car JV",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/mevwzsAp_s0/update-2-pix-hyundai-motor-group-aptiv-to-set-up-4-bln-self-driving-car-jv-idUSL3N26E1SR
82,9/23/2019 2:47:20 PM,"Hyundai Motor Group, Aptiv to set up $4 billion self-driving car JV",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/0KtKGyAGyX8/hyundai-motor-group-aptiv-to-set-up-4-billion-self-driving-car-jv-idUSKBN1W80WP
83,9/23/2019 6:47:08 PM,"Hyundai Motor Group, Aptiv to set up $4 billion self-driving car JV",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/4Dcf0hahmhA/hyundai-motor-group-aptiv-to-set-up-4-billion-self-driving-car-jv-idINKBN1W81GR
84,9/23/2019 7:01:37 PM,"UPDATE 1-Hyundai Motor Group, Aptiv to set up $4 bln self-driving car venture",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/NdqYa3LKx9o/update-1-hyundai-motor-group-aptiv-to-set-up-4-bln-self-driving-car-venture-idUSL5N26E571
85,9/23/2019 7:08:25 PM,"Hyundai Motor Group, Aptiv to set up $4 billion self-driving car venture",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/AxlTJnzo9Zc/hyundai-motor-group-aptiv-to-set-up-4-billion-self-driving-car-venture-idUSKBN1W80WP
86,9/24/2019 2:28:19 AM,"REFILE-UPDATE 1-Hyundai Motor Group, Aptiv to set up $4 bln self-driving car venture",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/QEtb_i4fQ-I/refile-update-1-hyundai-motor-group-aptiv-to-set-up-4-bln-self-driving-car-venture-idUSL5N26E571
87,9/24/2019 2:32:01 AM,"Hyundai Motor Group, Aptiv to set up $4 billion self-driving car venture",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/2mtnqX8RMYg/hyundai-motor-group-aptiv-to-set-up-4-billion-self-driving-car-venture-idINKBN1W901S
88,9/24/2019 2:40:13 AM,"UPDATE 3-Hyundai Motor Group, Aptiv to set up $4 bln self-driving car venture",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/W4JGbm3f-zk/update-3-hyundai-motor-group-aptiv-to-set-up-4-bln-self-driving-car-venture-idUSL5N26E571
89,9/24/2019 4:27:53 AM,PwC To Pay $7.9 Mln To Settle SEC Charges On Improper Conduct ,RTTNews,/news/stocks/pwc-to-pay-7-9-mln-to-settle-sec-charges-on-improper-conduct-1028546381
90,10/30/2019 6:10:22 PM,Automakers seeking profitable autonomous safety features - Aptiv CEO,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/hkqmAZRFzrs/automakers-seeking-profitable-autonomous-safety-features-aptiv-ceo-idUSL2N27F16G
91,11/1/2019 7:11:58 PM,2 AI Stocks Under $100 Poised to Profit From Self-Driving Cars,InvestorPlace,/news/stocks/ai-stocks-for-self-driving-cars-amba-aptv-1028652564
92,1/29/2020 3:02:11 PM,Aptiv (ex Delphi Automotive) is about to announce earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/aptiv-stock-quarter-earnings-preview-q4-1028855405
93,1/30/2020 2:24:52 PM,"Aptiv Q4 Results Beat Estimates, But Outlook Disappoints - Quick Facts ",RTTNews,/news/stocks/aptiv-q4-results-beat-estimates-but-outlook-disappoints-quick-facts-1028859616
94,1/30/2020 5:47:48 PM,"UPDATE 1-Aptiv CEO sees growth as auto production falls, but shares drop",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/kmPTN5Ka-ts/update-1-aptiv-ceo-sees-growth-as-auto-production-falls-but-shares-drop-idUSL4N29Z4B7
95,2/12/2020 4:28:15 PM,3 Autonomous Vehicle Stocks to Buy On 2020 Sector Growth,InvestorPlace,/news/stocks/3-autonomous-vehicle-stocks-to-buy-on-2020-sector-growth-1028899656
96,2/18/2020 2:25:48 PM,7 Autonomous Vehicle Stocks to Drive You to the Future,InvestorPlace,/news/stocks/7-autonomous-vehicle-stocks-to-drive-you-to-the-future-1028636600
97,2/18/2020 4:01:30 PM,Here’s a Slightly Safer Way to Bet on Lyft Stock   ,InvestorPlace,/news/stocks/heres-a-slightly-safer-way-to-bet-on-lyft-stock-1028915141
98,3/20/2020 3:50:07 PM,Auto sector gains even as plants go dark,Seeking Alpha,https://seekingalpha.com/news/3553850-auto-sector-gains-even-plants-go-dark?utm_source=markets.businessinsider.com&utm_medium=referral
99,5/4/2020 3:01:31 PM,What Wall Street expects from Aptiv (ex Delphi Automotive)'s earnings,Markets Insider Automation,/news/stocks/aptiv-stock-quarter-earnings-preview-q1-1029160298
100,5/5/2020 2:04:40 PM,Aptiv adjusted profit drops 37% due to the coronavirus crisis,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/NWc_prw-nv0/aptiv-adjusted-profit-drops-37-due-to-the-coronavirus-crisis-idUSL4N2CN20M
101,5/5/2020 2:58:13 PM,UPDATE 1-Aptiv profit beats estimates despite fall in sales due to COVID-19 pandemic,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/QU2caTMamJc/update-1-aptiv-profit-beats-estimates-despite-fall-in-sales-due-to-covid-19-pandemic-idUSL4N2CN21G
102,5/5/2020 3:10:21 PM,Aptiv profit beats estimates despite fall in sales due to COVID-19 pandemic,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/EG-EiO5HX_g/aptiv-profit-beats-estimates-despite-fall-in-sales-due-to-covid-19-pandemic-idINKBN22H1OD
103,5/5/2020 4:42:13 PM,Aptiv +2% on better-than-feared results,Seeking Alpha,https://seekingalpha.com/news/3569240-aptivplus-2-on-better-feared-results?utm_source=markets.businessinsider.com&utm_medium=referral
104,5/5/2020 5:53:23 PM,UPDATE 2-Aptiv warns of Q2 loss as pandemic hits vehicle production,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/bcJNxdIecrY/update-2-aptiv-warns-of-q2-loss-as-pandemic-hits-vehicle-production-idUSL4N2CN21G
105,5/5/2020 5:55:58 PM,Aptiv warns of second-quarter loss as pandemic hits vehicle production,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/bn0Qzdn6cJs/aptiv-warns-of-second-quarter-loss-as-pandemic-hits-vehicle-production-idINKBN22H1OD
106,6/8/2020 9:25:40 PM,Aptiv announces concurrent common and convertible shares offering,Seeking Alpha,https://seekingalpha.com/news/3581337-aptiv-announces-concurrent-common-and-convertible-shares-offering?utm_source=markets.businessinsider.com&utm_medium=referral
107,7/8/2020 8:06:07 PM,"A top industry executive says there are 3 major players in autonomous vehicles, and Waymo, the most talked-about company in the business, isn't one of them (APTV)",Premium,/news/stocks/waymo-not-av-power-player-ceo-of-hyundai-aptiv-jv-2020-7
108,7/29/2020 3:03:03 PM,Here's what Wall Street expects from Aptiv (ex Delphi Automotive)'s earnings,Markets Insider Automation,/news/stocks/aptiv-quarter-earnings-preview-q2-1029445770
109,8/14/2020 3:45:31 PM,3 Autonomous Vehicle Stocks Are Gearing Up,InvestorPlace,/news/stocks/3-autonomous-vehicle-stocks-are-gearing-up-1029505660
110,9/1/2020 12:01:42 PM,7 Electric Car Stocks to Buy for a Big EV Boom,InvestorPlace,/news/stocks/7-electric-car-stocks-to-buy-for-a-big-ev-boom-1029551651
111,9/24/2020 3:29:17 PM,6 Growth-Bound Artificial Intelligence Stocks to Buy,InvestorPlace,/news/stocks/6-growth-bound-artificial-intelligence-stocks-to-buy-1029620414
112,10/15/2020 2:56:53 PM,3 Autonomous Vehicle Stocks That Are Changing the World,InvestorPlace,/news/stocks/autonomous-vehicle-stocks-changing-the-world-1029685449
113,10/27/2020 12:03:10 PM,Piedmont Lithium Stock Might Not Be Your Best Bet on the Metal,InvestorPlace,/news/stocks/piedmont-lithium-stock-not-best-bet-on-metal-1029726967
114,10/28/2020 3:04:57 PM,Here's what Wall Street expects from Aptiv (ex Delphi Automotive)'s earnings report,Markets Insider Automation,/news/stocks/aptiv-q3-quarterly-earnings-preview-stock-1029734833
115,10/28/2020 3:33:23 PM,Notable earnings before Thursday's open,Seeking Alpha,https://seekingalpha.com/news/3627321-notable-earnings-thursdays-open?utm_source=markets.businessinsider.com&utm_medium=referral
116,10/28/2020 4:04:52 PM,Aptiv Q3 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3627335-aptiv-q3-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral
117,10/29/2020 10:49:17 AM,"Aptiv EPS beats by $0.31, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3628049-aptiv-eps-beats-0_31-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral
118,10/29/2020 1:58:28 PM,Aptiv rallies after earnings topper,Seeking Alpha,https://seekingalpha.com/news/3628338-aptiv-rallies-after-earnings-topper?utm_source=markets.businessinsider.com&utm_medium=referral
119,11/4/2020 5:18:49 PM,3 Autonomous Vehicle Stocks to Drive You to Gains,InvestorPlace,/news/stocks/3-autonomous-vehicle-stocks-to-drive-you-to-gains-1029766642
120,11/6/2020 3:11:23 PM,7 Autonomous Vehicle Stocks to Buy As Transpiration Enters a New Era,InvestorPlace,/news/stocks/7-autonomous-vehicle-stocks-to-buy-as-transpiration-enters-a-new-era-1029775477
121,11/17/2020 3:46:38 PM,Hyundai-Aptiv JV to take driverless cars into the wild in Nevada,Seeking Alpha,https://seekingalpha.com/news/3637137-hyundai-aptiv-jv-to-take-driverless-cars-wild-in-nevada?utm_source=markets.businessinsider.com&utm_medium=referral
122,11/25/2020 3:53:12 PM,Auto supplier stocks drop as electric vehicle buzz wears off a bit,Seeking Alpha,https://seekingalpha.com/news/3639456-auto-supplier-stocks-drop-electric-vehicle-buzz-wears-off-bit?utm_source=markets.businessinsider.com&utm_medium=referral
123,12/16/2020 4:04:53 PM,"Lyft, Motional To Launch Robotaxi Services In Major U.S. Cities In 2023 ",RTTNews,/news/stocks/lyft-motional-to-launch-robotaxi-services-in-major-u-s-cities-in-2023-1029898826
124,12/16/2020 5:01:52 PM,"Lyft, Aptiv-Hyundai JV Motional will launch fully-driverless robotaxis in major U.S. cities in 2023",Seeking Alpha,https://seekingalpha.com/news/3644988-lyft-aptiv-hyundai-jv-motional-will-launch-fully-driverless-robotaxis-in-major-u-s-cities-in?utm_source=markets.businessinsider.com&utm_medium=referral
125,12/23/2020 4:57:31 PM,Stocks That Hit 52-Week Highs On Wednesday,Benzinga,/news/stocks/stocks-that-hit-52-week-highs-on-wednesday-1029917465
126,12/26/2020 11:45:26 AM,3 Lidar Stocks to Buy for Autonomous Driving,InvestorPlace,/news/stocks/3-lidar-stocks-to-buy-cgro-vldr-vleey-1029919749
127,12/29/2020 4:32:13 PM,Stocks That Hit 52-Week Highs On Tuesday,Benzinga,/news/stocks/stocks-that-hit-52-week-highs-on-tuesday-1029923468
